"Confirmed","Deaths","Recovered","day_cont","province_country","day_100_cases","day_100","deaths_to_cases"
177,3,2,49,"California, US",48,1,1.69491525423729
221,4,6,50,"California, US",48,2,1.80995475113122
282,4,6,51,"California, US",48,3,1.41843971631206
340,5,6,52,"California, US",48,4,1.47058823529412
426,6,6,53,"California, US",48,5,1.40845070422535
557,7,6,54,"California, US",48,6,1.25673249551167
155,5,0,54,"Florida, US",53,1,3.2258064516129
698,12,6,55,"California, US",48,7,1.71919770773639
216,6,0,55,"Florida, US",53,2,2.77777777777778
751,13,0,56,"California, US",48,8,1.73102529960053
314,7,0,56,"Florida, US",53,3,2.22929936305732
173,3,0,56,"Texas, US",55,1,1.73410404624277
952,18,0,57,"California, US",48,9,1.89075630252101
417,9,0,57,"Florida, US",53,4,2.15827338129496
260,5,0,57,"Texas, US",55,2,1.92307692307692
150,0,0,57,"South Africa",56,1,0
1177,23,0,58,"California, US",48,10,1.95412064570943
563,10,0,58,"Florida, US",53,5,1.77619893428064
394,5,0,58,"Texas, US",55,3,1.26903553299492
202,0,0,58,"South Africa",56,2,0
1364,24,0,59,"California, US",48,11,1.75953079178886
659,13,0,59,"Florida, US",53,6,1.97268588770865
581,5,0,59,"Texas, US",55,4,0.860585197934595
240,0,0,59,"South Africa",56,3,0
158,4,3,59,"Argentina",58,1,2.53164556962025
266,4,27,60,"Argentina",58,2,1.50375939849624
274,0,2,60,"South Africa",56,4,0
1646,30,0,60,"California, US",48,12,1.82260024301337
1004,13,0,60,"Florida, US",53,7,1.29482071713147
643,7,0,60,"Texas, US",55,5,1.08864696734059
266,4,27,61,"Argentina",58,3,1.50375939849624
402,0,4,61,"South Africa",56,5,0
2108,39,0,61,"California, US",48,13,1.85009487666034
1227,18,0,61,"Florida, US",53,8,1.46699266503667
758,9,0,61,"Texas, US",55,6,1.18733509234828
387,6,52,62,"Argentina",58,4,1.55038759689922
554,0,4,62,"South Africa",56,6,0
2538,50,0,62,"California, US",48,14,1.97005516154452
1412,18,0,62,"Florida, US",53,9,1.27478753541076
955,12,0,62,"Texas, US",55,7,1.2565445026178
387,8,52,63,"Argentina",58,5,2.0671834625323
709,0,12,63,"South Africa",56,7,0
2998,65,0,63,"California, US",48,15,2.16811207471648
1682,23,0,63,"Florida, US",53,10,1.36741973840666
1229,15,0,63,"Texas, US",55,8,1.22050447518308
502,9,63,64,"Argentina",58,6,1.79282868525896
927,0,12,64,"South Africa",56,8,0
3899,81,0,64,"California, US",48,16,2.07745575788664
2357,29,0,64,"Florida, US",53,11,1.23037759864234
1563,21,0,64,"Texas, US",55,9,1.34357005758157
589,13,72,65,"Argentina",58,7,2.20713073005093
1170,1,31,65,"South Africa",56,9,0.0854700854700855
4657,94,0,65,"California, US",48,17,2.01846682413571
2900,35,0,65,"Florida, US",53,12,1.20689655172414
1937,26,0,65,"Texas, US",55,10,1.34228187919463
690,18,72,66,"Argentina",58,8,2.60869565217391
1187,1,31,66,"South Africa",56,10,0.08424599831508
5095,110,0,66,"California, US",48,18,2.15897939156035
3763,54,0,66,"Florida, US",53,13,1.43502524581451
2455,30,0,66,"Texas, US",55,11,1.22199592668024
745,19,72,67,"Argentina",58,9,2.5503355704698
1280,2,31,67,"South Africa",56,11,0.15625
5852,124,0,67,"California, US",48,19,2.11893369788107
4246,56,0,67,"Florida, US",53,14,1.31888836552049
2792,37,0,67,"Texas, US",55,12,1.32521489971347
820,23,228,68,"Argentina",58,10,2.80487804878049
1326,3,31,68,"South Africa",56,12,0.226244343891403
7138,146,0,68,"California, US",48,20,2.04539086578874
5473,63,0,68,"Florida, US",53,15,1.15110542663987
3147,45,0,68,"Texas, US",55,13,1.42993326978074
1054,27,240,69,"Argentina",58,11,2.56166982922201
1353,5,31,69,"South Africa",56,13,0.369549150036955
8210,173,0,69,"California, US",48,21,2.10718635809988
6741,85,0,69,"Florida, US",53,16,1.26094051327696
3809,54,0,69,"Texas, US",55,14,1.41769493305329
1054,28,248,70,"Argentina",58,12,2.65654648956357
1380,5,50,70,"South Africa",56,14,0.36231884057971
9399,199,0,70,"California, US",48,22,2.11724651558676
6956,87,0,70,"Florida, US",53,17,1.25071880391029
4355,66,0,70,"Texas, US",55,15,1.51549942594719
1133,36,256,71,"Argentina",58,13,3.17740511915269
1462,5,50,71,"South Africa",56,15,0.341997264021888
10773,238,0,71,"California, US",48,23,2.20922677063028
9008,164,0,71,"Florida, US",53,18,1.82060390763766
5069,77,0,71,"Texas, US",55,16,1.51903728546064
1265,39,266,72,"Argentina",58,14,3.08300395256917
1505,9,95,72,"South Africa",56,16,0.598006644518272
12004,265,0,72,"California, US",48,24,2.20759746751083
10268,170,0,72,"Florida, US",53,19,1.65562913907285
5734,100,0,72,"Texas, US",55,17,1.74398325776073
1451,43,279,73,"Argentina",58,15,2.96347346657478
1585,9,95,73,"South Africa",56,17,0.56782334384858
12837,289,0,73,"California, US",48,25,2.25130482199891
11537,195,0,73,"Florida, US",53,20,1.69021409378521
6567,116,0,73,"Texas, US",55,18,1.76640779655855
1451,44,280,74,"Argentina",58,16,3.03239145416954
1655,11,95,74,"South Africa",56,18,0.664652567975831
15034,348,0,74,"California, US",48,26,2.31475322602102
12350,221,0,74,"Florida, US",53,21,1.78947368421053
7209,136,0,74,"Texas, US",55,19,1.88653072548204
1554,48,325,75,"Argentina",58,17,3.08880308880309
1686,12,95,75,"South Africa",56,19,0.711743772241993
16019,380,0,75,"California, US",48,27,2.37218303264873
13324,236,0,75,"Florida, US",53,22,1.77123986790754
8043,150,0,75,"Texas, US",55,20,1.86497575531518
1628,56,338,76,"Argentina",58,18,3.43980343980344
1749,13,95,76,"South Africa",56,20,0.743281875357347
17351,432,0,76,"California, US",48,28,2.4897700420725
14545,283,0,76,"Florida, US",53,23,1.94568580268133
8925,160,0,76,"Texas, US",55,21,1.79271708683473
1715,63,358,77,"Argentina",58,19,3.6734693877551
1845,18,95,77,"South Africa",56,21,0.975609756097561
18897,495,0,77,"California, US",48,29,2.61946340688998
15456,309,0,77,"Florida, US",53,24,1.99922360248447
9777,189,0,77,"Texas, US",55,22,1.93310831543418
1795,72,365,78,"Argentina",58,20,4.01114206128134
1934,18,95,78,"South Africa",56,22,0.93071354705274
19710,544,0,78,"California, US",48,30,2.76002029426687
16364,354,0,78,"Florida, US",53,25,2.16328526032755
11208,210,0,78,"Texas, US",55,23,1.87366167023555
1975,82,375,79,"Argentina",58,21,4.15189873417722
2003,24,410,79,"South Africa",56,23,1.19820269595607
21081,583,0,79,"California, US",48,31,2.7655234571415
17531,390,0,79,"Florida, US",53,26,2.22463065426958
12105,238,0,79,"Texas, US",55,24,1.96612969847171
1975,83,440,80,"Argentina",58,22,4.20253164556962
2028,25,410,80,"South Africa",56,24,1.232741617357
21706,604,0,80,"California, US",48,32,2.78264074449461
18494,438,0,80,"Florida, US",53,27,2.3683356764356
13023,266,0,80,"Texas, US",55,25,2.04254012132381
2142,90,468,81,"Argentina",58,23,4.20168067226891
2173,25,410,81,"South Africa",56,25,1.15048320294524
22795,640,0,81,"California, US",48,33,2.80763325290634
19895,461,0,81,"Florida, US",53,28,2.31716511686353
13677,283,0,81,"Texas, US",55,26,2.06916721503254
2208,97,515,82,"Argentina",58,24,4.39311594202899
2272,27,410,82,"South Africa",56,26,1.18838028169014
23931,714,0,82,"California, US",48,34,2.98357778613514
21019,499,0,82,"Florida, US",53,29,2.37404253294638
14275,305,0,82,"Texas, US",55,27,2.13660245183888
2277,102,559,83,"Argentina",58,25,4.47957839262187
2415,27,410,83,"South Africa",56,27,1.11801242236025
25356,767,0,83,"California, US",48,35,3.02492506704528
21628,571,0,83,"Florida, US",53,30,2.64009617162937
15006,342,0,83,"Texas, US",55,28,2.27908836465414
2443,111,596,84,"Argentina",58,26,4.54359394187474
2506,34,410,84,"South Africa",56,28,1.35674381484437
26686,860,0,84,"California, US",48,36,3.22266356891254
22511,596,0,84,"Florida, US",53,31,2.64759450935098
15907,375,0,84,"Texas, US",55,29,2.35745269378261
2571,115,631,85,"Argentina",58,27,4.4729677168417
2605,48,903,85,"South Africa",56,29,1.8426103646833
27677,956,0,85,"California, US",48,37,3.45413158940637
23343,668,0,85,"Florida, US",53,32,2.8616715931971
16876,414,0,85,"Texas, US",55,30,2.45318795923205
2669,123,666,86,"Argentina",58,28,4.608467590858
2783,50,903,86,"South Africa",56,30,1.79662234998203
