"province_country","day_100","Confirmed"
"California, US",1,177
"California, US",2,221
"California, US",3,282
"California, US",4,340
"California, US",5,426
"California, US",6,557
"Florida, US",1,155
"California, US",7,698
"Florida, US",2,216
"California, US",8,751
"Florida, US",3,314
"Texas, US",1,173
"California, US",9,952
"Florida, US",4,417
"Texas, US",2,260
"South Africa",1,150
"California, US",10,1177
"Florida, US",5,563
"Texas, US",3,394
"South Africa",2,202
"California, US",11,1364
"Florida, US",6,659
"Texas, US",4,581
"South Africa",3,240
"Argentina",1,158
"Argentina",2,266
"South Africa",4,274
"California, US",12,1646
"Florida, US",7,1004
"Texas, US",5,643
"Argentina",3,266
"South Africa",5,402
"California, US",13,2108
"Florida, US",8,1227
"Texas, US",6,758
"Argentina",4,387
"South Africa",6,554
"California, US",14,2538
"Florida, US",9,1412
"Texas, US",7,955
"Argentina",5,387
"South Africa",7,709
"California, US",15,2998
"Florida, US",10,1682
"Texas, US",8,1229
"Argentina",6,502
"South Africa",8,927
"California, US",16,3899
"Florida, US",11,2357
"Texas, US",9,1563
"Argentina",7,589
"South Africa",9,1170
"California, US",17,4657
"Florida, US",12,2900
"Texas, US",10,1937
"Argentina",8,690
"South Africa",10,1187
"California, US",18,5095
"Florida, US",13,3763
"Texas, US",11,2455
"Argentina",9,745
"South Africa",11,1280
"California, US",19,5852
"Florida, US",14,4246
"Texas, US",12,2792
"Argentina",10,820
"South Africa",12,1326
"California, US",20,7138
"Florida, US",15,5473
"Texas, US",13,3147
"Argentina",11,1054
"South Africa",13,1353
"California, US",21,8210
"Florida, US",16,6741
"Texas, US",14,3809
"Argentina",12,1054
"South Africa",14,1380
"California, US",22,9399
"Florida, US",17,6956
"Texas, US",15,4355
"Argentina",13,1133
"South Africa",15,1462
"California, US",23,10773
"Florida, US",18,9008
"Texas, US",16,5069
"Argentina",14,1265
"South Africa",16,1505
"California, US",24,12004
"Florida, US",19,10268
"Texas, US",17,5734
"Argentina",15,1451
"South Africa",17,1585
"California, US",25,12837
"Florida, US",20,11537
"Texas, US",18,6567
"Argentina",16,1451
"South Africa",18,1655
"California, US",26,15034
"Florida, US",21,12350
"Texas, US",19,7209
"Argentina",17,1554
"South Africa",19,1686
"California, US",27,16019
"Florida, US",22,13324
"Texas, US",20,8043
"Argentina",18,1628
"South Africa",20,1749
"California, US",28,17351
"Florida, US",23,14545
"Texas, US",21,8925
"Argentina",19,1715
"South Africa",21,1845
"California, US",29,18897
"Florida, US",24,15456
"Texas, US",22,9777
"Argentina",20,1795
"South Africa",22,1934
"California, US",30,19710
"Florida, US",25,16364
"Texas, US",23,11208
"Argentina",21,1975
"South Africa",23,2003
"California, US",31,21081
"Florida, US",26,17531
"Texas, US",24,12105
"Argentina",22,1975
"South Africa",24,2028
"California, US",32,21706
"Florida, US",27,18494
"Texas, US",25,13023
"Argentina",23,2142
"South Africa",25,2173
"California, US",33,22795
"Florida, US",28,19895
"Texas, US",26,13677
"Argentina",24,2208
"South Africa",26,2272
"California, US",34,23931
"Florida, US",29,21019
"Texas, US",27,14275
"Argentina",25,2277
"South Africa",27,2415
"California, US",35,25356
"Florida, US",30,21628
"Texas, US",28,15006
"Argentina",26,2443
"South Africa",28,2506
"California, US",36,26686
"Florida, US",31,22511
"Texas, US",29,15907
"Argentina",27,2571
"South Africa",29,2605
"California, US",37,27677
"Florida, US",32,23343
"Texas, US",30,16876
"Argentina",28,2669
"South Africa",30,2783
"California, US",38,29157
"Florida, US",33,24759
"Texas, US",31,17849
"Argentina",29,2758
"South Africa",31,3034
"California, US",39,30491
"Florida, US",34,25492
"Texas, US",32,18704
"Argentina",30,2839
"South Africa",32,3158
"California, US",40,31431
"Florida, US",35,26314
"Texas, US",33,19260
"Argentina",31,2941
"South Africa",33,3300
"California, US",41,33686
"Florida, US",36,27059
"Texas, US",34,19751
"Argentina",32,3031
"South Africa",34,3465
"California, US",42,35465
"Florida, US",37,27869
"Texas, US",35,20574
"Argentina",33,3144
"South Africa",35,3635
"California, US",43,37344
"Florida, US",38,28309
"Texas, US",36,21321
"Argentina",34,3435
"South Africa",36,3953
"California, US",44,39561
"Florida, US",39,29648
"Texas, US",37,22650
"Argentina",35,3607
"South Africa",37,4220
"California, US",45,41355
"Florida, US",40,30533
"Texas, US",38,23642
"Argentina",36,3780
"South Africa",38,4361
"California, US",46,42368
"Florida, US",41,30839
"Texas, US",39,24153
"Argentina",37,3892
"South Africa",39,4546
"California, US",47,43558
"Florida, US",42,31532
"Texas, US",40,24967
"Argentina",38,4003
"South Africa",40,4793
"California, US",48,44966
"Florida, US",43,32138
"Texas, US",41,25321
"Argentina",39,4127
"South Africa",41,4996
"California, US",49,46164
"Florida, US",44,32848
"Texas, US",42,26357
"Argentina",40,4285
"South Africa",42,5350
"California, US",50,48747
"Florida, US",45,33193
"Texas, US",43,27257
"Argentina",41,4428
"South Africa",43,5647
"California, US",51,50130
"Florida, US",46,33690
"Texas, US",44,28727
"Argentina",42,4532
"South Africa",44,5951
"California, US",52,52026
"Florida, US",47,34728
"Texas, US",45,29692
"Argentina",43,4681
"South Africa",45,6336
"California, US",53,53347
"Florida, US",48,35463
"Texas, US",46,30917
"Argentina",44,4783
"South Africa",46,6783
"California, US",54,54903
"Florida, US",49,36078
"Texas, US",47,31998
"Argentina",45,4887
"South Africa",47,7220
"California, US",55,55884
"Florida, US",50,36897
"Texas, US",48,32783
"Argentina",46,5020
"South Africa",48,7572
"California, US",56,58456
"Florida, US",51,37439
"Texas, US",49,33912
"Argentina",47,5208
"South Africa",49,7808
"California, US",57,60616
"Florida, US",52,38002
"Texas, US",50,34928
"Argentina",48,5371
"South Africa",50,8232
"California, US",58,62148
"Florida, US",53,38828
"Texas, US",51,36036
"Argentina",49,5611
"South Africa",51,8895
"California, US",59,63779
"Florida, US",54,39199
"Texas, US",52,37246
"Argentina",50,5776
"South Africa",52,9420
"California, US",60,66558
"Florida, US",55,40001
"Texas, US",53,38394
"Argentina",51,6034
"South Africa",53,10015
"California, US",61,67600
"Florida, US",56,40596
"Texas, US",54,39258
"Argentina",52,6278
"South Africa",54,10652
"California, US",62,69329
"Florida, US",57,40982
"Texas, US",55,40555
"Argentina",53,6563
"South Africa",55,11350
"California, US",63,70978
"Florida, US",58,41923
"Texas, US",56,41432
"Argentina",54,6879
"South Africa",56,12074
"California, US",64,72798
"Florida, US",59,42402
"Texas, US",57,43020
"Argentina",55,7134
"South Africa",57,12739
"California, US",65,74871
"Florida, US",60,43210
"Texas, US",58,44480
"Argentina",56,7479
"South Africa",58,13524
"California, US",66,76693
"Florida, US",61,44138
"Texas, US",59,45721
"Argentina",57,7805
"South Africa",59,14355
"California, US",67,78725
"Florida, US",62,44811
"Texas, US",60,47452
